time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
434,0.000858997,1.13188,0.000853608,768.109,741.681,67.0262
435,0.000772676,1.01743,0.00076729,768.272,748.634,74.4438
436,0.000687169,0.904194,0.000681896,768.244,755.022,81.8707
437,0.000604533,0.794964,0.000599521,767.841,760.362,88.3074
438,0.000527365,0.693218,0.000522789,766.76,764.012,92.1887
439,0.000458487,0.60269,0.000454517,764.507,765.239,91.6562
440,0.000400303,0.526498,0.000397057,760.371,763.474,85.4402
441,0.000354022,0.466121,0.000351524,754.083,758.48,74.0286
442,0.000319223,0.420863,0.000317393,745.837,750.654,59.8951
443,0.000294116,0.388272,0.000292815,736.319,740.963,46.1152
444,0.00027634,0.365206,0.00027542,726.434,730.583,34.6939
445,0.000263697,0.348785,0.000263035,716.968,720.5,26.1463
446,0.000254498,0.336816,0.000254009,708.411,711.329,20.0877
447,0.000249963,0.330903,0.000249549,703.626,706.191,17.2804
