time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
87,0.0114327,15.5075,0.0114312,748.72,299.724,1.47563
88,0.0114084,15.4738,0.0114069,748.905,299.743,1.48426
89,0.011384,15.44,0.0113825,749.081,299.764,1.4931
90,0.0113596,15.4061,0.011358,749.249,299.786,1.50199
91,0.011335,15.372,0.0113334,749.326,299.8,1.51271
92,0.0113103,15.3378,0.0113087,749.485,299.826,1.52059
93,0.0112855,15.3034,0.0112839,749.636,299.854,1.52874
94,0.0112606,15.269,0.011259,749.781,299.883,1.53697
95,0.0112356,15.2344,0.0112341,749.835,299.904,1.54704
96,0.0112106,15.1998,0.011209,749.974,299.937,1.55438
97,0.0111854,15.165,0.0111839,750.105,299.971,1.56199
98,0.0111602,15.1301,0.0111587,750.231,300.008,1.5697
99,0.0111349,15.0952,0.0111334,750.267,300.036,1.57926
100,0.0111096,15.0601,0.011108,750.388,300.077,1.58616
101,0.0110841,15.0249,0.0110825,750.503,300.12,1.59334
102,0.0110586,14.9897,0.011057,750.614,300.165,1.60064
103,0.0110331,14.9544,0.0110315,750.635,300.201,1.60972
104,0.0110074,14.919,0.0110058,750.742,300.25,1.61629
105,0.0109817,14.8835,0.0109801,750.844,300.301,1.62315
106,0.010956,14.8479,0.0109544,750.942,300.354,1.63012
107,0.0109301,14.8123,0.0109285,750.95,300.399,1.63875
108,0.0109043,14.7766,0.0109027,751.045,300.457,1.6451
109,0.0108783,14.7408,0.0108767,751.136,300.516,1.6517
110,0.0108524,14.705,0.0108507,751.223,300.578,1.65843
111,0.0108263,14.669,0.0108247,751.221,300.632,1.66669
112,0.0108003,14.633,0.0107986,751.306,300.699,1.67286
113,0.0107741,14.597,0.0107725,751.387,300.768,1.67927
114,0.010748,14.5609,0.0107463,751.373,300.828,1.68808
115,0.0107217,14.5248,0.0107201,751.455,300.902,1.69372
116,0.0106955,14.4886,0.0106938,751.531,300.978,1.69977
117,0.0106692,14.4523,0.0106675,751.604,301.056,1.70603
118,0.0106428,14.416,0.0106412,751.583,301.126,1.71445
119,0.0106165,14.3797,0.0106148,751.657,301.209,1.72005
120,0.01059,14.3433,0.0105884,751.726,301.295,1.72601
121,0.0105636,14.3068,0.0105619,751.792,301.383,1.73217
122,0.0105371,14.2703,0.0105354,751.765,301.463,1.74026
123,0.0105106,14.2338,0.0105089,751.832,301.556,1.74585
124,0.010484,14.1972,0.0104823,751.894,301.651,1.75175
125,0.0104574,14.1606,0.0104557,751.954,301.749,1.75782
126,0.0104308,14.1239,0.0104291,751.923,301.839,1.7656
127,0.0104041,14.0872,0.0104025,751.983,301.942,1.7712
128,0.0103774,14.0505,0.0103758,752.04,302.048,1.77707
129,0.0103507,14.0138,0.0103491,751.996,302.145,1.7831
130,0.010324,13.9769,0.0103223,752.058,302.256,1.79063
131,0.0102972,13.9401,0.0102955,752.113,302.369,1.79625
132,0.0102704,13.9032,0.0102687,752.165,302.485,1.80211
133,0.0102436,13.8663,0.0102419,752.12,302.592,1.81015
134,0.0102168,13.8294,0.0102151,752.175,302.714,1.81544
135,0.0101899,13.7924,0.0101882,752.225,302.837,1.8211
136,0.010163,13.7554,0.0101613,752.273,302.964,1.82696
137,0.0101361,13.7184,0.0101344,752.225,303.082,1.83468
138,0.0101091,13.6814,0.0101075,752.275,303.213,1.84009
139,0.0100822,13.6443,0.0100805,752.321,303.348,1.84579
140,0.0100552,13.6072,0.0100535,752.365,303.485,1.85168
141,0.0100282,13.5701,0.0100265,752.315,303.613,1.85921
142,0.0100012,13.5329,0.00999952,752.36,303.756,1.8647
143,0.00997418,13.4958,0.00997249,752.402,303.901,1.87045
144,0.00994713,13.4586,0.00994544,752.343,304.037,1.87848
145,0.00992005,13.4214,0.00991836,752.39,304.188,1.88371
146,0.00989297,13.3841,0.00989128,752.432,304.341,1.8893
147,0.00986587,13.3469,0.00986418,752.471,304.497,1.89511
148,0.00983875,13.3096,0.00983706,752.411,304.644,1.90289
149,0.00981162,13.2723,0.00980992,752.453,304.806,1.90827
150,0.00978447,13.235,0.00978278,752.491,304.97,1.91395
151,0.00975732,13.1977,0.00975562,752.528,305.137,1.91984
152,0.00973014,13.1603,0.00972844,752.467,305.295,1.92742
153,0.00970295,13.123,0.00970125,752.505,305.468,1.93294
154,0.00967575,13.0856,0.00967405,752.54,305.643,1.93873
155,0.00964854,13.0482,0.00964684,752.47,305.809,1.94684
156,0.00962131,13.0108,0.00961961,752.512,305.99,1.95213
157,0.00959407,12.9734,0.00959237,752.547,306.174,1.95779
158,0.00956683,12.936,0.00956513,752.58,306.361,1.96368
159,0.00953957,12.8985,0.00953787,752.511,306.538,1.97153
160,0.0095123,12.861,0.00951059,752.547,306.731,1.97703
161,0.00948502,12.8236,0.00948332,752.579,306.926,1.98283
162,0.00945774,12.7861,0.00945603,752.61,307.124,1.98883
163,0.00943044,12.7486,0.00942873,752.541,307.312,1.99654
164,0.00940313,12.7111,0.00940142,752.573,307.516,2.00222
165,0.00937582,12.6736,0.00937411,752.604,307.723,2.00815
166,0.0093485,12.6361,0.00934679,752.525,307.92,2.0164
167,0.00932116,12.5985,0.00931945,752.562,308.132,2.02188
168,0.00929382,12.561,0.00929211,752.592,308.348,2.02772
169,0.00926648,12.5234,0.00926477,752.62,308.566,2.03379
170,0.00923912,12.4858,0.00923741,752.544,308.774,2.04182
171,0.00921176,12.4483,0.00921005,752.575,308.999,2.04753
172,0.00918439,12.4107,0.00918268,752.603,309.226,2.05355
173,0.00915702,12.3731,0.00915531,752.63,309.456,2.05977
174,0.00912964,12.3355,0.00912793,752.553,309.676,2.0677
175,0.00910225,12.2979,0.00910054,752.582,309.912,2.07361
176,0.00907486,12.2603,0.00907315,752.608,310.151,2.07979
177,0.00904747,12.2227,0.00904576,752.524,310.38,2.08819
178,0.00902007,12.1851,0.00901835,752.556,310.625,2.09399
179,0.00899266,12.1474,0.00899095,752.582,310.873,2.10011
180,0.00896525,12.1098,0.00896354,752.607,311.124,2.10647
181,0.00893784,12.0722,0.00893612,752.524,311.365,2.11473
182,0.00891041,12.0345,0.0089087,752.552,311.622,2.12076
183,0.00888299,11.9969,0.00888128,752.577,311.882,2.12709
184,0.00885557,11.9592,0.00885385,752.6,312.146,2.13362
185,0.00882813,11.9215,0.00882642,752.517,312.398,2.14183
186,0.0088007,11.8839,0.00879898,752.543,312.668,2.1481
187,0.00877326,11.8462,0.00877155,752.566,312.941,2.15462
188,0.00874582,11.8085,0.00874411,752.476,313.202,2.1633
189,0.00871837,11.7709,0.00871666,752.505,313.481,2.16948
190,0.00869093,11.7332,0.00868921,752.529,313.763,2.17598
191,0.00866348,11.6955,0.00866176,752.55,314.048,2.18271
192,0.00863603,11.6578,0.00863431,752.462,314.323,2.1913
193,0.00860857,11.6201,0.00860685,752.488,314.614,2.19775
194,0.00858111,11.5824,0.0085794,752.51,314.909,2.20449
195,0.00855366,11.5447,0.00855194,752.53,315.207,2.21143
196,0.00852619,11.507,0.00852447,752.442,315.494,2.22001
197,0.00849873,11.4693,0.00849701,752.466,315.798,2.22672
198,0.00847126,11.4316,0.00846955,752.486,316.105,2.23369
199,0.0084438,11.3939,0.00844208,752.392,316.402,2.24274
200,0.00841632,11.3562,0.00841461,752.418,316.716,2.24942
201,0.00838885,11.3185,0.00838714,752.44,317.033,2.25639
202,0.00836138,11.2808,0.00835967,752.459,317.353,2.2636
203,0.00833391,11.243,0.00833219,752.366,317.663,2.27262
204,0.00830643,11.2053,0.00830471,752.39,317.99,2.27959
205,0.00827895,11.1676,0.00827724,752.41,318.32,2.28684
206,0.00825148,11.1298,0.00824976,752.307,318.639,2.29429
207,0.00822399,11.0921,0.00822228,752.336,318.976,2.30332
208,0.00819651,11.0544,0.00819479,752.358,319.316,2.31059
209,0.00816903,11.0166,0.00816731,752.377,319.66,2.31812
210,0.00814155,10.9789,0.00813983,752.277,319.992,2.32766
211,0.00811406,10.9411,0.00811234,752.302,320.342,2.33494
212,0.00808658,10.9034,0.00808486,752.322,320.696,2.34251
213,0.00805909,10.8657,0.00805737,752.34,321.053,2.35032
214,0.0080316,10.8279,0.00802988,752.242,321.398,2.35989
215,0.00800411,10.7901,0.00800239,752.265,321.762,2.36749
216,0.00797662,10.7524,0.0079749,752.284,322.129,2.37538
217,0.00794913,10.7146,0.00794742,752.177,322.484,2.38543
218,0.00792164,10.6769,0.00791992,752.204,322.858,2.39311
219,0.00789414,10.6391,0.00789243,752.225,323.235,2.40106
220,0.00786665,10.6013,0.00786493,752.243,323.616,2.40927
221,0.00783916,10.5636,0.00783744,752.14,323.984,2.41939
222,0.00781165,10.5258,0.00780994,752.163,324.372,2.42741
223,0.00778416,10.488,0.00778244,752.182,324.762,2.43572
224,0.00775666,10.4502,0.00775494,752.2,325.156,2.44427
225,0.00772916,10.4124,0.00772744,752.098,325.538,2.45447
226,0.00770165,10.3746,0.00769993,752.119,325.939,2.46288
227,0.00767415,10.3368,0.00767243,752.138,326.344,2.47156
228,0.00764665,10.299,0.00764493,752.026,326.735,2.4823
229,0.00761913,10.2612,0.00761742,752.053,327.147,2.49082
230,0.00759163,10.2234,0.00758991,752.073,327.561,2.49961
231,0.00756412,10.1856,0.0075624,752.091,327.979,2.50867
232,0.0075366,10.1478,0.00753488,751.983,328.384,2.51954
233,0.00750909,10.1099,0.00750737,752.006,328.808,2.52846
234,0.00748157,10.0721,0.00747985,752.025,329.236,2.53766
235,0.00745405,10.0343,0.00745233,752.043,329.667,2.54711
236,0.00742653,9.99643,0.00742481,751.936,330.085,2.55815
237,0.007399,9.95858,0.00739728,751.957,330.523,2.56751
238,0.00737148,9.92072,0.00736976,751.976,330.964,2.57714
239,0.00734395,9.88286,0.00734223,751.862,331.392,2.58869
240,0.00731642,9.84499,0.0073147,751.887,331.839,2.59824
241,0.00728888,9.80711,0.00728716,751.907,332.29,2.60806
242,0.00726135,9.76923,0.00725962,751.926,332.744,2.61814
243,0.0072338,9.73133,0.00723208,751.814,333.184,2.6299
244,0.00720626,9.69343,0.00720454,751.837,333.644,2.63992
245,0.00717871,9.65552,0.00717699,751.856,334.108,2.65022
246,0.00715116,9.61761,0.00714944,751.734,334.557,2.66077
247,0.0071236,9.57967,0.00712188,751.764,335.027,2.67277
248,0.00709604,9.54173,0.00709432,751.785,335.499,2.6833
249,0.00706848,9.50379,0.00706676,751.804,335.974,2.69409
250,0.00704091,9.46584,0.00703919,751.687,336.435,2.70663
251,0.00701334,9.42786,0.00701161,751.712,336.917,2.71742
252,0.00698576,9.38989,0.00698404,751.733,337.401,2.72847
253,0.00695818,9.3519,0.00695646,751.752,337.888,2.73979
254,0.00693059,9.3139,0.00692887,751.637,338.361,2.75261
255,0.006903,9.27588,0.00690127,751.66,338.853,2.76394
256,0.0068754,9.23786,0.00687368,751.68,339.348,2.77554
257,0.0068478,9.19983,0.00684607,751.556,339.828,2.78886
258,0.00682019,9.16177,0.00681846,751.585,340.329,2.80054
259,0.00679257,9.12371,0.00679085,751.607,340.833,2.81244
260,0.00676495,9.08564,0.00676323,751.627,341.338,2.82461
261,0.00673732,9.04755,0.0067356,751.507,341.829,2.83829
262,0.00670969,9.00944,0.00670796,751.533,342.339,2.85052
263,0.00668205,8.97133,0.00668032,751.554,342.852,2.86301
264,0.0066544,8.9332,0.00665267,751.574,343.367,2.87576
265,0.00662675,8.89505,0.00662502,751.456,343.867,2.88979
266,0.00659908,8.85689,0.00659735,751.48,344.387,2.90262
267,0.00657141,8.81871,0.00656969,751.501,344.909,2.91571
268,0.00654374,8.78053,0.00654201,751.374,345.415,2.93023
269,0.00651605,8.74231,0.00651432,751.404,345.942,2.94346
