time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
88,0.0122439,15.9101,0.0122438,799.151,300.299,0.703911
89,0.0122419,15.893,0.0122417,800.095,300.332,0.700258
90,0.0122399,15.8759,0.0122397,801.019,300.366,0.696747
91,0.0122378,15.8589,0.0122377,801.925,300.401,0.693348
92,0.0122359,15.8421,0.0122357,802.814,300.439,0.690039
93,0.0122339,15.8253,0.0122337,803.687,300.478,0.686806
94,0.0122319,15.8086,0.0122318,804.544,300.519,0.68364
95,0.0122299,15.7919,0.0122298,805.385,300.561,0.680533
96,0.012228,15.7753,0.0122278,806.211,300.606,0.677479
97,0.012226,15.7589,0.0122259,807.023,300.652,0.674477
98,0.0122241,15.7424,0.012224,807.821,300.701,0.671522
99,0.0122221,15.7261,0.012222,808.605,300.751,0.668612
100,0.0122202,15.7098,0.0122201,809.376,300.803,0.665746
101,0.0122183,15.6937,0.0122182,810.134,300.857,0.662922
102,0.0122164,15.6775,0.0122163,810.88,300.914,0.660139
103,0.0122145,15.6615,0.0122144,811.613,300.972,0.657394
104,0.0122126,15.6455,0.0122125,812.335,301.032,0.654689
105,0.0122107,15.6296,0.0122106,813.045,301.094,0.65202
106,0.0122089,15.6137,0.0122087,813.743,301.159,0.649388
107,0.012207,15.5979,0.0122069,814.431,301.225,0.646791
108,0.0122051,15.5822,0.012205,815.107,301.294,0.644228
109,0.0122033,15.5666,0.0122032,815.774,301.365,0.6417
110,0.0122014,15.551,0.0122013,816.43,301.438,0.639204
111,0.0121996,15.5354,0.0121995,817.076,301.513,0.636741
112,0.0121978,15.52,0.0121976,817.712,301.59,0.63431
113,0.0121959,15.5046,0.0121958,818.339,301.67,0.631909
114,0.0121941,15.4892,0.012194,818.956,301.752,0.629539
115,0.0121923,15.4739,0.0121922,819.565,301.836,0.627199
116,0.0121905,15.4587,0.0121904,820.164,301.922,0.624887
117,0.0121887,15.4435,0.0121886,820.755,302.011,0.622605
118,0.0121869,15.4284,0.0121868,821.337,302.101,0.62035
119,0.0121851,15.4134,0.012185,821.912,302.194,0.618123
120,0.0121834,15.3983,0.0121832,822.478,302.29,0.615923
121,0.0121816,15.3834,0.0121815,823.036,302.387,0.613749
122,0.0121798,15.3685,0.0121797,823.586,302.487,0.611602
123,0.0121781,15.3537,0.012178,824.129,302.589,0.609479
124,0.0121763,15.3389,0.0121762,824.664,302.694,0.607382
125,0.0121746,15.3241,0.0121745,825.192,302.801,0.60531
126,0.0121728,15.3095,0.0121727,825.713,302.91,0.603261
127,0.0121711,15.2948,0.012171,826.227,303.021,0.601237
128,0.0121694,15.2802,0.0121693,826.735,303.135,0.599236
129,0.0121676,15.2657,0.0121675,827.235,303.251,0.597257
130,0.0121659,15.2512,0.0121658,827.729,303.369,0.595301
131,0.0121642,15.2368,0.0121641,828.217,303.489,0.593368
132,0.0121625,15.2224,0.0121624,828.699,303.612,0.591456
133,0.0121608,15.2081,0.0121607,829.174,303.737,0.589566
134,0.0121591,15.1938,0.012159,829.643,303.865,0.587697
135,0.0121574,15.1796,0.0121573,830.107,303.994,0.585849
136,0.0121558,15.1654,0.0121557,830.565,304.126,0.584022
137,0.0121541,15.1512,0.012154,831.017,304.261,0.582214
138,0.0121524,15.1371,0.0121523,831.463,304.397,0.580427
139,0.0121507,15.1231,0.0121506,831.904,304.536,0.578659
140,0.0121491,15.109,0.012149,832.248,304.678,0.578877
141,0.0121474,15.095,0.0121473,832.674,304.821,0.57686
142,0.0121458,15.081,0.0121457,833.109,304.966,0.574853
143,0.0121441,15.0671,0.012144,833.538,305.114,0.572911
144,0.0121425,15.0532,0.0121424,833.959,305.264,0.571029
145,0.0121408,15.0394,0.0121407,834.374,305.416,0.569199
146,0.0121392,15.0256,0.0121391,834.783,305.571,0.567416
147,0.0121376,15.0119,0.0121375,835.187,305.727,0.565672
148,0.0121359,14.9982,0.0121358,835.586,305.886,0.563965
149,0.0121343,14.9846,0.0121342,835.98,306.046,0.56229
