time (s), delta (m), mass (kg), vol (m3), Tsurf (k), Tcore (k), MLR(kg/m3/s)
434,0.0117314,11.8665,0.0117314,880.901,384.806,0.352009
435,0.0117308,11.8583,0.0117308,880.974,385.388,0.350003
436,0.0117303,11.8501,0.0117302,881.048,385.98,0.347977
437,0.0117297,11.842,0.0117297,881.121,386.583,0.345934
438,0.0117292,11.8339,0.0117292,881.194,387.196,0.343877
439,0.0117287,11.8259,0.0117287,881.266,387.82,0.341809
440,0.0117283,11.8179,0.0117282,881.339,388.455,0.339733
441,0.0117278,11.81,0.0117278,881.411,389.1,0.337654
442,0.0117274,11.8021,0.0117274,881.484,389.756,0.335576
443,0.011727,11.7942,0.011727,881.556,390.423,0.333504
444,0.0117266,11.7864,0.0117266,881.627,391.1,0.331443
445,0.0117263,11.7787,0.0117262,881.699,391.788,0.3294
446,0.0117259,11.771,0.0117259,881.771,392.486,0.327381
447,0.0117256,11.7634,0.0117256,881.842,393.193,0.325392
448,0.0117253,11.7557,0.0117253,881.913,393.91,0.323442
449,0.0117251,11.7482,0.0117251,881.984,394.636,0.321537
450,0.0117248,11.7407,0.0117248,882.055,395.371,0.319685
451,0.0117246,11.7332,0.0117246,882.126,396.113,0.317894
452,0.0117244,11.7258,0.0117244,882.196,396.864,0.316172
453,0.0117242,11.7184,0.0117242,882.267,397.62,0.314527
454,0.0117241,11.711,0.0117241,882.337,398.383,0.312964
455,0.0117239,11.7037,0.0117239,882.407,399.152,0.311492
456,0.0117238,11.6965,0.0117238,882.477,399.924,0.310114
457,0.0117237,11.6892,0.0117237,882.546,400.7,0.308838
458,0.0117236,11.682,0.0117236,882.616,401.479,0.307664
459,0.0117235,11.6748,0.0117235,882.685,402.26,0.306597
460,0.0117235,11.6676,0.0117235,882.755,403.042,0.305637
461,0.0117234,11.6605,0.0117234,882.824,403.823,0.304783
462,0.0117234,11.6533,0.0117234,882.893,404.604,0.304033
463,0.0117233,11.6462,0.0117233,882.962,405.384,0.303384
464,0.0117233,11.6391,0.0117233,883.03,406.161,0.302831
465,0.0117233,11.632,0.0117233,883.099,406.936,0.302367
466,0.0117232,11.6249,0.0117232,883.167,407.708,0.301987
467,0.0117232,11.6179,0.0117232,883.236,408.476,0.301682
468,0.0117232,11.6108,0.0117232,883.304,409.24,0.301445
469,0.0117232,11.6037,0.0117232,883.372,409.999,0.301267
470,0.0117232,11.5967,0.0117232,883.44,410.755,0.301142
471,0.0117232,11.5896,0.0117232,883.507,411.506,0.301061
472,0.0117232,11.5826,0.0117232,883.575,412.252,0.301018
473,0.0117232,11.5755,0.0117232,883.642,412.994,0.301007
474,0.0117232,11.5685,0.0117232,883.71,413.732,0.301022
475,0.0117232,11.5614,0.0117232,883.777,414.465,0.301059
476,0.0117232,11.5544,0.0117232,883.844,415.195,0.301114
477,0.0117232,11.5473,0.0117232,883.911,415.92,0.301184
478,0.0117232,11.5402,0.0117232,883.978,416.642,0.301266
479,0.0117232,11.5332,0.0117232,884.045,417.36,0.301359
480,0.0117232,11.5261,0.0117232,884.111,418.075,0.301461
481,0.0117232,11.5191,0.0117232,884.178,418.786,0.301571
482,0.0117232,11.512,0.0117232,884.244,419.494,0.301688
483,0.0117232,11.5049,0.0117232,884.31,420.2,0.301812
484,0.0117232,11.4979,0.0117232,884.376,420.902,0.301944
485,0.0117232,11.4908,0.0117232,884.442,421.601,0.302081
486,0.0117232,11.4837,0.0117232,884.508,422.298,0.302225
487,0.0117232,11.4766,0.0117232,884.574,422.993,0.302376
488,0.0117232,11.4695,0.0117232,884.64,423.685,0.302533
489,0.0117232,11.4624,0.0117232,884.705,424.374,0.302697
490,0.0117232,11.4553,0.0117232,884.771,425.061,0.302867
491,0.0117232,11.4482,0.0117232,884.836,425.746,0.303044
492,0.0117232,11.4411,0.0117232,884.902,426.429,0.303228
493,0.0117232,11.434,0.0117232,884.967,427.109,0.303418
494,0.0117232,11.4269,0.0117232,885.032,427.788,0.303615
495,0.0117232,11.4198,0.0117232,885.097,428.465,0.30382
496,0.0117232,11.4127,0.0117232,885.163,429.139,0.304031
497,0.0117232,11.4056,0.0117232,885.228,429.812,0.304249
498,0.0117232,11.3984,0.0117232,885.292,430.483,0.304474
499,0.0117232,11.3913,0.0117232,885.357,431.152,0.304706
500,0.0117232,11.3842,0.0117232,885.422,431.819,0.304945
501,0.0117232,11.377,0.0117232,885.487,432.485,0.305192
502,0.0117232,11.3699,0.0117232,885.551,433.148,0.305446
503,0.0117232,11.3627,0.0117232,885.616,433.811,0.305707
504,0.0117232,11.3555,0.0117232,885.68,434.471,0.305975
505,0.0117232,11.3484,0.0117232,885.745,435.13,0.306251
506,0.0117232,11.3412,0.0117232,885.809,435.787,0.306534
507,0.0117232,11.334,0.0117232,885.874,436.443,0.306824
508,0.0117232,11.3268,0.0117232,885.938,437.098,0.307122
509,0.0117232,11.3196,0.0117232,886.002,437.75,0.307427
510,0.0117232,11.3124,0.0117232,886.066,438.402,0.30774
511,0.0117232,11.3052,0.0117232,886.131,439.052,0.30806
512,0.0117232,11.298,0.0117232,886.195,439.7,0.308388
513,0.0117232,11.2907,0.0117232,886.259,440.347,0.308723
514,0.0117232,11.2835,0.0117232,886.323,440.993,0.309065
515,0.0117232,11.2762,0.0117232,886.387,441.637,0.309415
516,0.0117232,11.269,0.0117232,886.451,442.28,0.309773
517,0.0117232,11.2617,0.0117232,886.515,442.922,0.310138
518,0.0117232,11.2545,0.0117232,886.578,443.563,0.31051
519,0.0117232,11.2472,0.0117232,886.642,444.202,0.31089
520,0.0117232,11.2399,0.0117232,886.706,444.84,0.311277
521,0.0117232,11.2326,0.0117232,886.77,445.476,0.311672
522,0.0117232,11.2253,0.0117232,886.833,446.112,0.312074
523,0.0117232,11.218,0.0117232,886.897,446.746,0.312483
524,0.0117232,11.2107,0.0117232,886.961,447.379,0.3129
525,0.0117232,11.2033,0.0117232,887.024,448.011,0.313324
526,0.0117232,11.196,0.0117232,887.088,448.641,0.313756
527,0.0117232,11.1886,0.0117232,887.152,449.271,0.314195
528,0.0117232,11.1812,0.0117232,887.215,449.899,0.314641
529,0.0117232,11.1739,0.0117232,887.279,450.526,0.315095
530,0.0117232,11.1665,0.0117232,887.342,451.153,0.315555
531,0.0117232,11.1591,0.0117232,887.406,451.778,0.316023
532,0.0117232,11.1517,0.0117232,887.469,452.401,0.316499
533,0.0117232,11.1443,0.0117232,887.532,453.024,0.316981
534,0.0117232,11.1368,0.0117232,887.596,453.646,0.317471
535,0.0117232,11.1294,0.0117232,887.659,454.267,0.317967
536,0.0117232,11.1219,0.0117232,887.722,454.886,0.318471
537,0.0117232,11.1144,0.0117232,887.786,455.505,0.318982
538,0.0117232,11.107,0.0117232,887.849,456.123,0.3195
539,0.0117232,11.0995,0.0117232,887.912,456.739,0.320025
540,0.0117232,11.092,0.0117232,887.975,457.355,0.320557
541,0.0117232,11.0845,0.0117232,888.039,457.969,0.321096
542,0.0117232,11.0769,0.0117232,888.102,458.583,0.321642
543,0.0117232,11.0694,0.0117232,888.165,459.195,0.322195
544,0.0117232,11.0618,0.0117232,888.228,459.807,0.322754
545,0.0117232,11.0543,0.0117232,888.291,460.418,0.323321
546,0.0117232,11.0467,0.0117232,888.354,461.027,0.323894
547,0.0117232,11.0391,0.0117232,888.417,461.636,0.324474
548,0.0117232,11.0315,0.0117232,888.48,462.244,0.325061
549,0.0117232,11.0239,0.0117232,888.543,462.851,0.325654
550,0.0117232,11.0162,0.0117232,888.606,463.457,0.326255
551,0.0117232,11.0086,0.0117232,888.669,464.062,0.326862
552,0.0117232,11.0009,0.0117232,888.732,464.666,0.327475
553,0.0117232,10.9932,0.0117232,888.795,465.269,0.328095
554,0.0117232,10.9855,0.0117232,888.858,465.871,0.328722
555,0.0117232,10.9778,0.0117232,888.921,466.473,0.329355
556,0.0117232,10.9701,0.0117232,888.983,467.073,0.329995
557,0.0117232,10.9624,0.0117232,889.046,467.673,0.330641
558,0.0117232,10.9546,0.0117232,889.109,468.271,0.331294
559,0.0117232,10.9468,0.0117232,889.172,468.869,0.331953
560,0.0117232,10.939,0.0117232,889.234,469.466,0.332619
561,0.0117232,10.9312,0.0117232,889.297,470.062,0.333291
562,0.0117232,10.9234,0.0117232,889.36,470.658,0.333969
563,0.0117232,10.9156,0.0117232,889.422,471.252,0.334654
564,0.0117232,10.9077,0.0117232,889.485,471.846,0.335345
565,0.0117232,10.8999,0.0117232,889.547,472.439,0.336042
566,0.0117232,10.892,0.0117232,889.61,473.031,0.336746
567,0.0117232,10.8841,0.0117232,889.672,473.622,0.337455
568,0.0117232,10.8762,0.0117232,889.735,474.212,0.338171
569,0.0117232,10.8683,0.0117232,889.797,474.802,0.338894
570,0.0117232,10.8603,0.0117232,889.86,475.39,0.339622
571,0.0117232,10.8523,0.0117232,889.922,475.978,0.340356
572,0.0117232,10.8444,0.0117232,889.985,476.565,0.341097
573,0.0117232,10.8364,0.0117232,890.047,477.152,0.341844
574,0.0117232,10.8283,0.0117232,890.109,477.737,0.342597
575,0.0117232,10.8203,0.0117232,890.171,478.322,0.343355
576,0.0117232,10.8123,0.0117232,890.234,478.906,0.34412
577,0.0117232,10.8042,0.0117232,890.296,479.489,0.344891
578,0.0117232,10.7961,0.0117232,890.358,480.072,0.345668
579,0.0117232,10.788,0.0117232,890.42,480.653,0.346451
580,0.0117232,10.7799,0.0117232,890.482,481.234,0.34724
581,0.0117232,10.7717,0.0117232,890.544,481.814,0.348035
582,0.0117232,10.7635,0.0117232,890.607,482.394,0.348836
583,0.0117232,10.7554,0.0117232,890.669,482.973,0.349643
584,0.0117232,10.7472,0.0117232,890.731,483.55,0.350456
585,0.0117232,10.7389,0.0117232,890.792,484.128,0.351275
586,0.0117232,10.7307,0.0117232,890.854,484.704,0.3521
587,0.0117232,10.7225,0.0117232,890.916,485.28,0.35293
588,0.0117232,10.7142,0.0117232,890.978,485.855,0.353767
589,0.0117232,10.7059,0.0117232,891.04,486.429,0.354609
590,0.0117232,10.6976,0.0117232,891.102,487.003,0.355457
591,0.0117232,10.6892,0.0117232,891.164,487.576,0.356311
592,0.0117232,10.6809,0.0117232,891.225,488.148,0.357171
593,0.0117232,10.6725,0.0117232,891.287,488.719,0.358037
594,0.0117232,10.6641,0.0117232,891.349,489.29,0.358909
595,0.0117232,10.6557,0.0117232,891.41,489.86,0.359787
596,0.0117232,10.6472,0.0117232,891.472,490.43,0.36067
597,0.0117232,10.6388,0.0117232,891.533,490.998,0.361559
598,0.0117232,10.6303,0.0117232,891.595,491.566,0.362454
599,0.0117232,10.6218,0.0117232,891.656,492.134,0.363355
600,0.0117232,10.6133,0.0117232,891.718,492.7,0.364262
601,0.0117232,10.6047,0.0117232,891.779,493.266,0.365175
602,0.0117232,10.5961,0.0117232,891.84,493.831,0.366093
603,0.0117232,10.5876,0.0117232,891.902,494.396,0.367017
604,0.0117232,10.5789,0.0117232,891.963,494.96,0.367947
605,0.0117232,10.5703,0.0117232,892.024,495.523,0.368883
606,0.0117232,10.5617,0.0117232,892.085,496.086,0.369825
607,0.0117232,10.553,0.0117232,892.147,496.648,0.370773
608,0.0117232,10.5443,0.0117232,892.208,497.209,0.371726
609,0.0117232,10.5356,0.0117232,892.269,497.77,0.372686
610,0.0117232,10.5268,0.0117232,892.33,498.33,0.373651
611,0.0117232,10.5181,0.0117232,892.391,498.889,0.374623
612,0.0117232,10.5093,0.0117232,892.452,499.448,0.3756
613,0.0117232,10.5005,0.0117232,892.513,500.006,0.376583
614,0.0117232,10.4916,0.0117232,892.574,500.564,0.377571
615,0.0117232,10.4828,0.0117232,892.634,501.121,0.378566
616,0.0117232,10.4739,0.0117232,892.695,501.677,0.379567
617,0.0117232,10.465,0.0117232,892.756,502.232,0.380574
618,0.0117232,10.4561,0.0117232,892.817,502.787,0.381586
619,0.0117232,10.4471,0.0117232,892.877,503.342,0.382605
620,0.0117232,10.4381,0.0117232,892.938,503.896,0.38363
621,0.0117232,10.4291,0.0117232,892.999,504.449,0.38466
622,0.0117232,10.4201,0.0117232,893.059,505.001,0.385697
623,0.0117232,10.4111,0.0117232,893.12,505.553,0.386739
624,0.0117232,10.402,0.0117232,893.18,506.105,0.387788
625,0.0117232,10.3929,0.0117232,893.241,506.655,0.388843
626,0.0117232,10.3838,0.0117232,893.301,507.206,0.389904
627,0.0117232,10.3746,0.0117232,893.361,507.755,0.390971
628,0.0117232,10.3654,0.0117232,893.422,508.304,0.392044
629,0.0117232,10.3562,0.0117232,893.482,508.853,0.393123
630,0.0117232,10.347,0.0117232,893.542,509.4,0.394209
631,0.0117232,10.3378,0.0117232,893.602,509.948,0.3953
632,0.0117232,10.3285,0.0117232,893.662,510.494,0.396398
633,0.0117232,10.3192,0.0117232,893.722,511.04,0.397502
634,0.0117232,10.3099,0.0117232,893.782,511.586,0.398613
635,0.0117232,10.3005,0.0117232,893.842,512.131,0.399729
636,0.0117232,10.2911,0.0117232,893.902,512.675,0.400852
637,0.0117232,10.2817,0.0117232,893.962,513.219,0.401982
638,0.0117232,10.2723,0.0117232,894.022,513.762,0.403117
639,0.0117232,10.2629,0.0117232,894.082,514.305,0.404259
640,0.0117232,10.2534,0.0117232,894.142,514.847,0.405408
641,0.0117232,10.2439,0.0117232,894.202,515.389,0.406563
642,0.0117232,10.2343,0.0117232,894.261,515.93,0.407725
643,0.0117232,10.2247,0.0117232,894.321,516.47,0.408893
644,0.0117232,10.2152,0.0117232,894.381,517.01,0.410068
645,0.0117232,10.2055,0.0117232,894.44,517.55,0.411249
646,0.0117232,10.1959,0.0117232,894.5,518.088,0.412437
647,0.0117232,10.1862,0.0117232,894.559,518.627,0.413631
648,0.0117232,10.1765,0.0117232,894.619,519.165,0.414833
649,0.0117232,10.1668,0.0117232,894.678,519.702,0.416041
650,0.0117232,10.157,0.0117232,894.737,520.239,0.417256
651,0.0117232,10.1472,0.0117232,894.797,520.775,0.418477
652,0.0117232,10.1374,0.0117232,894.856,521.311,0.419706
653,0.0117232,10.1276,0.0117232,894.915,521.846,0.420941
654,0.0117232,10.1177,0.0117232,894.974,522.381,0.422184
655,0.0117232,10.1078,0.0117232,895.033,522.915,0.423433
656,0.0117232,10.0978,0.0117232,895.093,523.448,0.42469
657,0.0117232,10.0879,0.0117232,895.152,523.982,0.425953
658,0.0117232,10.0779,0.0117232,895.211,524.514,0.427224
659,0.0117232,10.0679,0.0117232,895.27,525.046,0.428501
660,0.0117232,10.0578,0.0117232,895.328,525.578,0.429786
661,0.0117232,10.0477,0.0117232,895.387,526.109,0.431079
662,0.0117232,10.0376,0.0117232,895.446,526.64,0.432378
663,0.0117232,10.0275,0.0117232,895.505,527.17,0.433685
664,0.0117232,10.0173,0.0117232,895.564,527.7,0.434999
665,0.0117232,10.0071,0.0117232,895.622,528.229,0.436321
666,0.0117232,9.99684,0.0117232,895.681,528.758,0.437651
667,0.0117232,9.98657,0.0117232,895.74,529.286,0.438987
668,0.0117232,9.97627,0.0117232,895.798,529.814,0.440332
669,0.0117232,9.96594,0.0117232,895.857,530.341,0.441684
670,0.0117232,9.95557,0.0117232,895.915,530.868,0.443044
671,0.0117232,9.94518,0.0117232,895.973,531.394,0.444412
672,0.0117232,9.93475,0.0117232,896.032,531.92,0.445787
673,0.0117232,9.92429,0.0117232,896.09,532.445,0.44717
674,0.0117232,9.9138,0.0117232,896.148,532.97,0.448562
675,0.0117232,9.90327,0.0117232,896.207,533.495,0.449961
676,0.0117232,9.89271,0.0117232,896.265,534.019,0.451368
677,0.0117232,9.88213,0.0117232,896.323,534.542,0.452784
678,0.0117232,9.8715,0.0117232,896.381,535.066,0.454207
679,0.0117232,9.86084,0.0117232,896.439,535.588,0.455639
680,0.0117232,9.85015,0.0117232,896.497,536.11,0.457079
681,0.0117232,9.83943,0.0117232,896.555,536.632,0.458528
682,0.0117232,9.82867,0.0117232,896.613,537.154,0.459985
683,0.0117232,9.81787,0.0117232,896.671,537.675,0.461451
684,0.0117232,9.80704,0.0117232,896.729,538.195,0.462925
685,0.0117232,9.79618,0.0117232,896.787,538.715,0.464407
686,0.0117232,9.78528,0.0117232,896.844,539.235,0.465899
687,0.0117232,9.77435,0.0117232,896.902,539.754,0.467399
688,0.0117232,9.76338,0.0117232,896.96,540.273,0.468908
689,0.0117232,9.75238,0.0117232,897.017,540.791,0.470426
690,0.0117232,9.74134,0.0117232,897.075,541.309,0.471953
691,0.0117232,9.73026,0.0117232,897.132,541.827,0.473488
692,0.0117232,9.71916,0.0117232,897.19,542.344,0.475033
693,0.0117232,9.70801,0.0117232,897.247,542.861,0.476588
694,0.0117232,9.69682,0.0117232,897.305,543.377,0.478151
695,0.0117232,9.68561,0.0117232,897.362,543.893,0.479724
696,0.0117232,9.67435,0.0117232,897.419,544.409,0.481306
697,0.0117232,9.66305,0.0117232,897.477,544.924,0.482898
698,0.0117232,9.65172,0.0117232,897.534,545.439,0.484499
699,0.0117232,9.64035,0.0117232,897.591,545.953,0.48611
700,0.0117232,9.62895,0.0117232,897.648,546.467,0.487731
701,0.0117232,9.6175,0.0117232,897.705,546.981,0.489361
702,0.0117232,9.60602,0.0117232,897.762,547.494,0.491001
703,0.0117232,9.59449,0.0117232,897.819,548.007,0.492652
704,0.0117232,9.58293,0.0117232,897.876,548.519,0.494312
705,0.0117232,9.57133,0.0117232,897.933,549.031,0.495983
706,0.0117232,9.5597,0.0117232,897.99,549.543,0.497663
707,0.0117232,9.54801,0.0117232,898.047,550.054,0.499354
708,0.0117232,9.53629,0.0117232,898.104,550.565,0.501055
709,0.0117232,9.52454,0.0117232,898.161,551.076,0.502767
710,0.0117232,9.51274,0.0117232,898.217,551.586,0.50449
711,0.0117232,9.5009,0.0117232,898.274,552.096,0.506223
712,0.0117232,9.48902,0.0117232,898.331,552.606,0.507966
713,0.0117232,9.4771,0.0117232,898.387,553.115,0.509721
714,0.0117232,9.46514,0.0117232,898.444,553.624,0.511486
715,0.0117232,9.45313,0.0117232,898.5,554.133,0.513263
716,0.0117232,9.44109,0.0117232,898.557,554.641,0.51505
717,0.0117232,9.429,0.0117232,898.613,555.149,0.516849
718,0.0117232,9.41687,0.0117232,898.669,555.657,0.518659
719,0.0117232,9.4047,0.0117232,898.726,556.164,0.52048
720,0.0117232,9.39248,0.0117232,898.782,556.671,0.522313
721,0.0117232,9.38022,0.0117232,898.838,557.178,0.524157
722,0.0117232,9.36792,0.0117232,898.894,557.684,0.526013
723,0.0117232,9.35558,0.0117232,898.951,558.19,0.527881
724,0.0117232,9.34319,0.0117232,899.007,558.696,0.52976
725,0.0117232,9.33076,0.0117232,899.063,559.201,0.531652
726,0.0117232,9.31828,0.0117232,899.119,559.706,0.533555
727,0.0117232,9.30576,0.0117232,899.175,560.211,0.535471
728,0.0117232,9.29319,0.0117232,899.231,560.716,0.537399
729,0.0117232,9.28058,0.0117232,899.287,561.22,0.539339
730,0.0117232,9.26792,0.0117232,899.343,561.724,0.541291
731,0.0117232,9.25522,0.0117232,899.398,562.227,0.543256
732,0.0117232,9.24246,0.0117232,899.454,562.731,0.545234
733,0.0117232,9.22967,0.0117232,899.51,563.234,0.547225
734,0.0117232,9.21682,0.0117232,899.566,563.737,0.549228
735,0.0117232,9.20394,0.0117232,899.621,564.24,0.551244
736,0.0117232,9.191,0.0117232,899.677,564.742,0.553273
737,0.0117232,9.17801,0.0117232,899.733,565.244,0.555316
738,0.0117232,9.16498,0.0117232,899.788,565.746,0.557372
739,0.0117232,9.1519,0.0117232,899.844,566.247,0.559441
740,0.0117232,9.13877,0.0117232,899.899,566.749,0.561523
741,0.0117232,9.12559,0.0117232,899.955,567.25,0.563619
742,0.0117232,9.11236,0.0117232,900.01,567.751,0.565729
743,0.0117232,9.09908,0.0117232,900.065,568.251,0.567852
744,0.0117232,9.08575,0.0117232,900.121,568.752,0.56999
745,0.0117232,9.07237,0.0117232,900.176,569.252,0.572141
746,0.0117232,9.05894,0.0117232,900.231,569.752,0.574307
747,0.0117232,9.04546,0.0117232,900.286,570.252,0.576487
748,0.0117232,9.03193,0.0117232,900.342,570.751,0.578681
749,0.0117232,9.01835,0.0117232,900.397,571.251,0.580889
750,0.0117232,9.00472,0.0117232,900.452,571.75,0.583112
751,0.0117232,8.99103,0.0117232,900.507,572.249,0.58535
752,0.0117232,8.97729,0.0117232,900.562,572.748,0.587603
753,0.0117232,8.9635,0.0117232,900.617,573.246,0.58987
754,0.0117232,8.94965,0.0117232,900.672,573.744,0.592153
755,0.0117232,8.93575,0.0117232,900.727,574.243,0.59445
756,0.0117232,8.9218,0.0117232,900.782,574.741,0.596763
757,0.0117232,8.90779,0.0117232,900.836,575.239,0.599091
758,0.0117232,8.89373,0.0117232,900.891,575.736,0.601434
759,0.0117232,8.87961,0.0117232,900.946,576.234,0.603794
760,0.0117232,8.86544,0.0117232,901.001,576.731,0.606168
761,0.0117232,8.85121,0.0117232,901.055,577.229,0.608559
762,0.0117232,8.83693,0.0117232,901.11,577.726,0.610966
763,0.0117232,8.82259,0.0117232,901.165,578.223,0.613388
764,0.0117232,8.80819,0.0117232,901.219,578.719,0.615827
765,0.0117232,8.79373,0.0117232,901.274,579.216,0.618282
766,0.0117232,8.77922,0.0117232,901.328,579.713,0.620753
767,0.0117232,8.76465,0.0117232,901.383,580.209,0.623241
768,0.0117232,8.75002,0.0117232,901.437,580.706,0.625745
769,0.0117232,8.73533,0.0117232,901.492,581.202,0.628266
770,0.0117232,8.72058,0.0117232,901.546,581.698,0.630804
771,0.0117232,8.70578,0.0117232,901.601,582.194,0.633359
772,0.0117232,8.69091,0.0117232,901.655,582.69,0.635931
773,0.0117232,8.67598,0.0117232,901.709,583.186,0.63852
774,0.0117232,8.66099,0.0117232,901.763,583.682,0.641127
775,0.0117232,8.64594,0.0117232,901.818,584.178,0.64375
776,0.0117232,8.63083,0.0117232,901.872,584.673,0.646392
777,0.0117232,8.61566,0.0117232,901.926,585.169,0.649051
778,0.0117232,8.60042,0.0117232,901.98,585.664,0.651727
779,0.0117232,8.58512,0.0117232,902.034,586.16,0.654422
780,0.0117232,8.56976,0.0117232,902.088,586.655,0.657134
781,0.0117232,8.55434,0.0117232,902.142,587.151,0.659865
782,0.0117232,8.53885,0.0117232,902.196,587.646,0.662613
783,0.0117232,8.52329,0.0117232,902.25,588.142,0.66538
784,0.0117232,8.50767,0.0117232,902.304,588.637,0.668166
785,0.0117232,8.49198,0.0117232,902.358,589.132,0.670969
786,0.0117232,8.47623,0.0117232,902.412,589.628,0.673792
787,0.0117232,8.46042,0.0117232,902.466,590.123,0.676633
788,0.0117232,8.44453,0.0117232,902.52,590.619,0.679493
789,0.0117232,8.42858,0.0117232,902.573,591.114,0.682372
790,0.0117232,8.41256,0.0117232,902.627,591.61,0.68527
791,0.0117232,8.39648,0.0117232,902.681,592.105,0.688187
792,0.0117232,8.38032,0.0117232,902.735,592.601,0.691124
793,0.0117232,8.36409,0.0117232,902.788,593.096,0.694079
794,0.0117232,8.3478,0.0117232,902.842,593.592,0.697055
795,0.0117232,8.33143,0.0117232,902.895,594.087,0.700049
796,0.0117232,8.315,0.0117232,902.949,594.583,0.703064
797,0.0117232,8.29849,0.0117232,903.003,595.079,0.706098
798,0.0117232,8.28192,0.0117232,903.056,595.575,0.709151
799,0.0117232,8.26527,0.0117232,903.11,596.071,0.712225
800,0.0117232,8.24855,0.0117232,903.163,596.567,0.715319
801,0.0117232,8.23175,0.0117232,903.217,597.063,0.718433
802,0.0117232,8.21489,0.0117232,903.27,597.56,0.721567
803,0.0117232,8.19795,0.0117232,903.323,598.056,0.724722
804,0.0117232,8.18093,0.0117232,903.377,598.553,0.727897
805,0.0117232,8.16384,0.0117232,903.43,599.05,0.731091
806,0.0117232,8.14668,0.0117232,903.483,599.547,0.734307
807,0.0117232,8.12944,0.0117232,903.537,600.044,0.737543
808,0.0117232,8.11213,0.0117232,903.59,600.541,0.740801
809,0.0117232,8.09473,0.0117232,903.643,601.038,0.744078
810,0.0117232,8.07727,0.0117232,903.696,601.536,0.747377
811,0.0117232,8.05972,0.0117232,903.75,602.034,0.750696
812,0.0117232,8.04209,0.0117232,903.803,602.532,0.754036
813,0.0117232,8.02439,0.0117232,903.856,603.03,0.757398
814,0.0117232,8.00661,0.0117232,903.909,603.529,0.76078
815,0.0117232,7.98875,0.0117232,903.962,604.028,0.764184
816,0.0117232,7.97081,0.0117232,904.015,604.527,0.767608
817,0.0117232,7.95278,0.0117232,904.068,605.026,0.771054
818,0.0117232,7.93468,0.0117232,904.121,605.525,0.774522
819,0.0117232,7.9165,0.0117232,904.174,606.025,0.77801
820,0.0117232,7.89823,0.0117232,904.227,606.525,0.78152
821,0.0117232,7.87988,0.0117232,904.28,607.026,0.785051
822,0.0117232,7.86145,0.0117232,904.333,607.526,0.788603
823,0.0117232,7.84293,0.0117232,904.386,608.027,0.792177
824,0.0117232,7.82433,0.0117232,904.439,608.529,0.795773
825,0.0117232,7.80565,0.0117232,904.492,609.03,0.79939
826,0.0117232,7.78688,0.0117232,904.545,609.532,0.803028
827,0.0117232,7.76802,0.0117232,904.598,610.035,0.806688
828,0.0117232,7.74909,0.0117232,904.651,610.538,0.81037
829,0.0117232,7.73006,0.0117232,904.704,611.041,0.814073
830,0.0117232,7.71094,0.0117232,904.756,611.544,0.817797
831,0.0117232,7.69174,0.0117232,904.809,612.049,0.821543
832,0.0117232,7.67245,0.0117232,904.862,612.553,0.82531
833,0.0117232,7.65308,0.0117232,904.915,613.058,0.829099
834,0.0117232,7.63361,0.0117232,904.968,613.563,0.832909
835,0.0117232,7.61406,0.0117232,905.02,614.069,0.836741
836,0.0117232,7.59441,0.0117232,905.073,614.575,0.840594
837,0.0117232,7.57467,0.0117232,905.126,615.082,0.844468
838,0.0117232,7.55484,0.0117232,905.178,615.59,0.848363
839,0.0117232,7.53492,0.0117232,905.231,616.097,0.852279
840,0.0117232,7.51491,0.0117232,905.284,616.606,0.856217
841,0.0117232,7.49481,0.0117232,905.336,617.115,0.860175
842,0.0117232,7.47461,0.0117232,905.389,617.624,0.864155
843,0.0117232,7.45432,0.0117232,905.442,618.134,0.868154
844,0.0117232,7.43394,0.0117232,905.494,618.645,0.872175
845,0.0117232,7.41346,0.0117232,905.547,619.156,0.876217
846,0.0117232,7.39289,0.0117232,905.6,619.668,0.880278
847,0.0117232,7.37222,0.0117232,905.652,620.181,0.88436
848,0.0117232,7.35145,0.0117232,905.705,620.694,0.888462
849,0.0117232,7.33059,0.0117232,905.757,621.208,0.892585
850,0.0117232,7.30964,0.0117232,905.81,621.723,0.896727
851,0.0117232,7.28858,0.0117232,905.863,622.238,0.900889
852,0.0117232,7.26743,0.0117232,905.915,622.754,0.90507
853,0.0117232,7.24618,0.0117232,905.968,623.271,0.90927
854,0.0117232,7.22483,0.0117232,906.02,623.789,0.91349
855,0.0117232,7.20338,0.0117232,906.073,624.307,0.917728
856,0.0117232,7.18184,0.0117232,906.125,624.826,0.921985
857,0.0117232,7.16019,0.0117232,906.178,625.346,0.92626
858,0.0117232,7.13844,0.0117232,906.23,625.867,0.930554
859,0.0117232,7.11659,0.0117232,906.283,626.389,0.934865
860,0.0117232,7.09464,0.0117232,906.335,626.911,0.939194
861,0.0117232,7.07259,0.0117232,906.388,627.435,0.94354
862,0.0117232,7.05044,0.0117232,906.44,627.959,0.947903
863,0.0117232,7.02818,0.0117232,906.493,628.484,0.952283
864,0.0117232,7.00582,0.0117232,906.545,629.011,0.956678
865,0.0117232,6.98336,0.0117232,906.598,629.538,0.961089
866,0.0117232,6.9608,0.0117232,906.65,630.066,0.965516
867,0.0117232,6.93813,0.0117232,906.703,630.596,0.969959
868,0.0117232,6.91536,0.0117232,906.756,631.126,0.974415
869,0.0117232,6.89248,0.0117232,906.808,631.658,0.978886
